"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 181",,,,"Date:","30 Oct 2019 16:50:25 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
31-10 14:21:45,94.458,4.282,1.259,0.0,0.0,0.0,1425408.0,114688.0,6610972672.0,39575552.0,1229959168.0,391872512.0,1082.0,944.0,7.660,4.920,2.440
31-10 14:21:46,95.0,5.0,0.0,0.0,0.0,0.0,1056768.0,28672.0,6621343744.0,39575552.0,1230417920.0,381042688.0,1348.0,4787.0,7.660,4.920,2.440
31-10 14:21:47,97.500,2.250,0.0,0.250,0.0,0.0,880640.0,331776.0,6627753984.0,39583744.0,1229938688.0,375103488.0,439.0,472.0,7.660,4.920,2.440
31-10 14:21:48,91.022,6.733,1.247,0.748,0.0,0.249,1019904.0,483328.0,6745464832.0,39591936.0,1230118912.0,257204224.0,126.0,194.0,7.660,4.920,2.440
31-10 14:21:49,91.729,8.271,0.0,0.0,0.0,0.0,1011712.0,40960.0,6770417664.0,39591936.0,1230188544.0,232181760.0,312.0,249.0,7.760,4.990,2.480
31-10 14:21:50,94.750,5.250,0.0,0.0,0.0,0.0,913408.0,94208.0,6842707968.0,39596032.0,1229799424.0,160276480.0,26802.0,2400.0,7.760,4.990,2.480
31-10 14:21:51,94.750,5.0,0.0,0.0,0.0,0.250,921600.0,270336.0,6855462912.0,39604224.0,1227161600.0,150151168.0,70.0,70.0,7.760,4.990,2.480
31-10 14:21:52,91.184,7.053,0.756,0.756,0.0,0.252,1421312.0,25210880.0,6472286208.0,27983872.0,1175814144.0,596295680.0,0.0,0.0,7.760,4.990,2.480
31-10 14:21:53,91.980,3.258,2.256,2.005,0.0,0.501,6762496.0,593920.0,6612840448.0,29425664.0,1180508160.0,449605632.0,70.0,70.0,7.760,4.990,2.480
31-10 14:21:54,83.042,8.479,6.234,2.244,0.0,0.0,3997696.0,3076096.0,6379511808.0,31035392.0,1161433088.0,700399616.0,0.0,0.0,8.740,5.240,2.570
31-10 14:21:55,73.552,2.015,11.839,12.091,0.0,0.504,2093056.0,2768896.0,6042107904.0,31051776.0,1181757440.0,1017462784.0,134.0,0.0,8.740,5.240,2.570
31-10 14:21:56,28.750,1.250,46.0,24.0,0.0,0.0,905216.0,282624.0,6013607936.0,31059968.0,1183207424.0,1044504576.0,0.0,0.0,8.740,5.240,2.570
31-10 14:21:57,26.750,0.750,48.0,24.500,0.0,0.0,1024000.0,0.0,6013005824.0,31059968.0,1186430976.0,1041883136.0,0.0,0.0,8.740,5.240,2.570
31-10 14:21:58,25.628,0.754,48.744,24.874,0.0,0.0,1060864.0,229376.0,6014066688.0,31068160.0,1187516416.0,1039728640.0,651.0,513.0,8.740,5.240,2.570
31-10 14:21:59,26.566,1.504,47.870,24.060,0.0,0.0,1019904.0,503808.0,6033600512.0,31072256.0,1189257216.0,1018449920.0,800.0,779.0,9.240,5.400,2.640
31-10 14:22:00,8.629,1.269,57.107,32.995,0.0,0.0,10010624.0,32768.0,5974102016.0,32026624.0,1197809664.0,1068441600.0,134.0,0.0,9.240,5.400,2.640


"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 4586",,,,"Date:","31 Oct 2019 14:29:49 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send","1m","5m","15m"
31-10 14:29:49,19.936,4.501,70.214,5.329,0.0,0.021,45062.965,79604.526,6214545408.0,55721984.0,1654611968.0,347500544.0,0.0,0.0,0.650,1.960,2.050
31-10 14:29:50,40.750,2.250,55.0,2.0,0.0,0.0,0.0,81920.0,6289031168.0,55730176.0,1654775808.0,272842752.0,134.0,0.0,0.650,1.960,2.050
31-10 14:29:51,67.750,1.250,29.750,1.250,0.0,0.0,0.0,32768.0,6316171264.0,55738368.0,1654243328.0,246226944.0,0.0,0.0,0.650,1.960,2.050
31-10 14:29:52,60.349,1.247,37.656,0.748,0.0,0.0,0.0,24576.0,6371446784.0,55738368.0,1654247424.0,190947328.0,231.0,179.0,0.650,1.960,2.050
31-10 14:29:53,59.649,2.005,36.842,1.504,0.0,0.0,0.0,36864.0,6445801472.0,55631872.0,1629241344.0,141705216.0,0.0,0.0,0.650,1.960,2.050
31-10 14:29:54,59.352,1.247,38.404,0.998,0.0,0.0,12288.0,237568.0,6467801088.0,55644160.0,1629151232.0,119783424.0,312.0,0.0,0.760,1.970,2.050
31-10 14:29:55,55.583,10.174,32.506,1.737,0.0,0.0,102400.0,6557696.0,6563061760.0,36487168.0,1489387520.0,183443456.0,464.0,0.0,0.760,1.970,2.050
31-10 14:29:56,65.075,8.040,24.121,2.764,0.0,0.0,524288.0,23769088.0,6225993728.0,36646912.0,1438949376.0,570789888.0,0.0,0.0,0.760,1.970,2.050
31-10 14:29:57,67.089,2.532,28.101,2.278,0.0,0.0,8192.0,50294784.0,6288158720.0,36651008.0,1478746112.0,468824064.0,0.0,0.0,0.760,1.970,2.050
31-10 14:29:58,88.191,1.508,10.050,0.251,0.0,0.0,90112.0,35053568.0,6300508160.0,36687872.0,1513734144.0,421449728.0,126.0,194.0,0.760,1.970,2.050
31-10 14:29:59,94.250,2.750,2.0,0.750,0.0,0.250,16384.0,40255488.0,6414819328.0,36704256.0,1535483904.0,285372416.0,0.0,0.0,1.180,2.030,2.070
31-10 14:30:00,91.500,1.500,6.750,0.250,0.0,0.0,225280.0,16842752.0,6458052608.0,36917248.0,1569050624.0,208359424.0,134.0,0.0,1.180,2.030,2.070
31-10 14:30:01,96.231,2.513,0.754,0.503,0.0,0.0,266240.0,33923072.0,6532325376.0,37072896.0,1562554368.0,140427264.0,204.0,140.0,1.180,2.030,2.070
31-10 14:30:02,93.250,5.500,0.750,0.0,0.0,0.500,2269184.0,33665024.0,6552567808.0,33738752.0,1548169216.0,137904128.0,268.0,204.0,1.180,2.030,2.070
31-10 14:30:03,83.920,4.020,4.271,7.789,0.0,0.0,1339392.0,44384256.0,6589878272.0,27762688.0,1528209408.0,126529536.0,327.0,210.0,1.180,2.030,2.070
31-10 14:30:04,79.404,7.692,6.203,6.452,0.0,0.248,372736.0,151552.0,6635143168.0,21852160.0,1381507072.0,233877504.0,204.0,140.0,1.400,2.070,2.080
31-10 14:30:05,88.917,3.275,7.305,0.504,0.0,0.0,1273856.0,114688.0,6665400320.0,21962752.0,1355411456.0,229605376.0,618.0,70.0,1.400,2.070,2.080
31-10 14:30:06,88.131,5.051,6.061,0.758,0.0,0.0,712704.0,22802432.0,6700126208.0,22069248.0,1321234432.0,228950016.0,102.0,70.0,1.400,2.070,2.080
31-10 14:30:07,60.050,2.261,36.683,1.005,0.0,0.0,143360.0,6230016.0,6470610944.0,22204416.0,1341403136.0,438161408.0,0.0,0.0,1.400,2.070,2.080
31-10 14:30:08,58.543,2.764,35.427,2.764,0.0,0.503,1789952.0,2682880.0,6166482944.0,22269952.0,1345548288.0,738078720.0,126.0,194.0,1.400,2.070,2.080
31-10 14:30:09,86.835,3.038,9.367,0.759,0.0,0.0,16384.0,159744.0,6318366720.0,22282240.0,1345814528.0,585916416.0,331.0,0.0,1.530,2.080,2.080
31-10 14:30:10,92.750,1.750,5.250,0.250,0.0,0.0,4096.0,0.0,6388592640.0,22286336.0,1345810432.0,515690496.0,134.0,0.0,1.530,2.080,2.080
31-10 14:30:11,97.750,2.250,0.0,0.0,0.0,0.0,253952.0,221184.0,6415335424.0,22302720.0,1346064384.0,488677376.0,13985.0,3640.0,1.530,2.080,2.080
31-10 14:30:12,98.750,1.250,0.0,0.0,0.0,0.0,258048.0,0.0,6454079488.0,22560768.0,1346080768.0,449658880.0,0.0,0.0,1.530,2.080,2.080
31-10 14:30:13,97.0,2.750,0.250,0.0,0.0,0.0,0.0,0.0,6481498112.0,22560768.0,1346080768.0,422240256.0,0.0,0.0,1.530,2.080,2.080
31-10 14:30:14,97.500,2.0,0.500,0.0,0.0,0.0,0.0,86016.0,6574170112.0,22568960.0,1346076672.0,329564160.0,0.0,0.0,1.970,2.160,2.110
31-10 14:30:15,96.491,2.506,1.003,0.0,0.0,0.0,0.0,884736.0,6667173888.0,22568960.0,1336045568.0,246591488.0,134.0,0.0,1.970,2.160,2.110
31-10 14:30:16,93.0,6.0,1.0,0.0,0.0,0.0,0.0,6352896.0,6732079104.0,19173376.0,1315479552.0,205647872.0,0.0,0.0,1.970,2.160,2.110
31-10 14:30:17,95.750,4.0,0.250,0.0,0.0,0.0,1986560.0,12218368.0,6776184832.0,19173376.0,1303097344.0,173924352.0,122.0,0.0,1.970,2.160,2.110
31-10 14:30:18,97.995,1.253,0.752,0.0,0.0,0.0,0.0,114688.0,6786646016.0,19173376.0,1303101440.0,163459072.0,126.0,194.0,1.970,2.160,2.110
31-10 14:30:19,98.496,1.253,0.0,0.0,0.0,0.251,73728.0,434176.0,6802423808.0,19177472.0,1303822336.0,146956288.0,109.0,179.0,2.290,2.230,2.130
31-10 14:30:20,96.0,3.750,0.250,0.0,0.0,0.0,16384.0,5115904.0,6801625088.0,19177472.0,1262419968.0,189157376.0,134.0,0.0,2.290,2.230,2.130
31-10 14:30:21,89.027,6.234,4.239,0.499,0.0,0.0,4096.0,9994240.0,6899113984.0,19181568.0,1207275520.0,146808832.0,70.0,70.0,2.290,2.230,2.130
31-10 14:30:22,88.529,10.224,0.748,0.249,0.0,0.249,1728512.0,11247616.0,6999318528.0,2740224.0,1098805248.0,171515904.0,0.0,0.0,2.290,2.230,2.130
31-10 14:30:23,87.374,9.091,2.525,1.010,0.0,0.0,3584000.0,0.0,6974521344.0,4501504.0,1097924608.0,195432448.0,0.0,0.0,2.290,2.230,2.130
31-10 14:30:24,78.446,7.519,7.519,6.266,0.0,0.251,6402048.0,6557696.0,5819363328.0,4505600.0,1095172096.0,1353338880.0,0.0,0.0,2.350,2.240,2.140
31-10 14:30:25,87.657,2.771,6.801,2.519,0.0,0.252,5189632.0,77824.0,5929226240.0,5787648.0,1099456512.0,1237909504.0,134.0,0.0,2.350,2.240,2.140
31-10 14:30:26,90.657,2.020,6.566,0.758,0.0,0.0,6459392.0,770048.0,5993762816.0,5816320.0,1126690816.0,1146109952.0,0.0,0.0,2.350,2.240,2.140
31-10 14:30:27,97.500,2.250,0.0,0.250,0.0,0.0,1130496.0,65536.0,6030581760.0,5824512.0,1127276544.0,1108697088.0,0.0,0.0,2.350,2.240,2.140
31-10 14:30:28,97.744,1.754,0.501,0.0,0.0,0.0,1826816.0,28672.0,6038437888.0,6025216.0,1128833024.0,1099083776.0,126.0,194.0,2.350,2.240,2.140
31-10 14:30:29,95.238,3.008,0.752,0.752,0.0,0.251,1617920.0,0.0,6081929216.0,6025216.0,1130266624.0,1054158848.0,203.0,70.0,2.640,2.300,2.160
31-10 14:30:30,93.955,2.519,2.519,1.008,0.0,0.0,12087296.0,73728.0,6148866048.0,7122944.0,1140895744.0,975495168.0,198.0,64.0,2.640,2.300,2.160
31-10 14:30:31,93.484,2.256,3.759,0.501,0.0,0.0,1802240.0,16384.0,6208794624.0,7258112.0,1142878208.0,913448960.0,70.0,70.0,2.640,2.300,2.160
31-10 14:30:32,96.734,2.261,1.005,0.0,0.0,0.0,266240.0,16384.0,6238011392.0,7258112.0,1142874112.0,884236288.0,0.0,0.0,2.640,2.300,2.160
31-10 14:30:33,94.750,4.750,0.500,0.0,0.0,0.0,688128.0,147456.0,6332231680.0,7266304.0,1145745408.0,787136512.0,123.0,70.0,2.640,2.300,2.160
31-10 14:30:34,92.250,4.500,2.250,0.750,0.0,0.250,4231168.0,4096.0,6441877504.0,7266304.0,1148407808.0,674828288.0,0.0,0.0,3.390,2.460,2.210
31-10 14:30:35,96.992,2.256,0.501,0.251,0.0,0.0,1982464.0,237568.0,6457249792.0,7274496.0,1149227008.0,658628608.0,853.0,0.0,3.390,2.460,2.210
31-10 14:30:36,97.0,2.0,0.750,0.0,0.0,0.250,5443584.0,585728.0,6459158528.0,7278592.0,1154748416.0,651194368.0,109.0,179.0,3.390,2.460,2.210
31-10 14:30:37,96.992,2.005,1.003,0.0,0.0,0.0,118784.0,303104.0,6498181120.0,7278592.0,1155121152.0,611799040.0,0.0,0.0,3.390,2.460,2.210
31-10 14:30:38,95.739,3.008,0.752,0.501,0.0,0.0,872448.0,409600.0,6533185536.0,7286784.0,1155706880.0,576200704.0,126.0,194.0,3.390,2.460,2.210
31-10 14:30:39,95.012,4.988,0.0,0.0,0.0,0.0,3989504.0,258048.0,6645956608.0,7294976.0,1122893824.0,496234496.0,0.0,0.0,4.160,2.640,2.270
31-10 14:30:40,92.231,7.519,0.0,0.0,0.0,0.251,7385088.0,4538368.0,6737158144.0,7458816.0,1087868928.0,439894016.0,1066.0,813.0,4.160,2.640,2.270
31-10 14:30:41,88.750,10.500,0.0,0.250,0.0,0.500,1175552.0,19382272.0,6820638720.0,7077888.0,1155026944.0,289636352.0,160.0,472.0,4.160,2.640,2.270
31-10 14:30:42,85.0,9.0,3.750,1.750,0.0,0.500,1503232.0,3330048.0,5831024640.0,7241728.0,1154887680.0,1279225856.0,3187.0,4049.0,4.160,2.640,2.270
31-10 14:30:43,82.908,6.378,6.378,4.337,0.0,0.0,1245184.0,2781184.0,5948407808.0,7249920.0,1219919872.0,1096802304.0,2227.0,2368.0,4.160,2.640,2.270
31-10 14:30:44,84.0,5.250,4.750,5.750,0.0,0.250,868352.0,0.0,5892829184.0,7249920.0,1294319616.0,1077981184.0,4949.0,4652.0,4.150,2.660,2.280
31-10 14:30:45,92.750,7.0,0.250,0.0,0.0,0.0,1073152.0,155648.0,5907451904.0,7413760.0,1151348736.0,1206165504.0,1416.0,1411.0,4.150,2.660,2.280
31-10 14:30:46,94.737,5.013,0.0,0.0,0.0,0.251,1150976.0,0.0,5959180288.0,7413760.0,1281171456.0,1024614400.0,0.0,0.0,4.150,2.660,2.280
31-10 14:30:47,88.0,11.500,0.250,0.250,0.0,0.0,3366912.0,446464.0,5988372480.0,7573504.0,1690083328.0,586350592.0,301.0,285.0,4.150,2.660,2.280
31-10 14:30:48,88.191,11.809,0.0,0.0,0.0,0.0,1515520.0,16384.0,5999104000.0,7573504.0,1153785856.0,1111916544.0,0.0,0.0,4.150,2.660,2.280
31-10 14:30:49,97.756,1.995,0.249,0.0,0.0,0.0,1204224.0,16384.0,6015803392.0,7573504.0,1154293760.0,1094709248.0,126.0,194.0,4.460,2.750,2.310
31-10 14:30:50,94.737,5.263,0.0,0.0,0.0,0.0,86016.0,77824.0,6058303488.0,7585792.0,1223340032.0,983150592.0,204.0,106.0,4.460,2.750,2.310
31-10 14:30:51,95.511,4.239,0.249,0.0,0.0,0.0,36864.0,16384.0,6039392256.0,7585792.0,1156067328.0,1069334528.0,70.0,70.0,4.460,2.750,2.310
31-10 14:30:52,95.739,4.261,0.0,0.0,0.0,0.0,286720.0,106496.0,6165622784.0,7659520.0,1155772416.0,943325184.0,0.0,0.0,4.460,2.750,2.310
31-10 14:30:53,95.761,4.239,0.0,0.0,0.0,0.0,618496.0,4096.0,6202126336.0,7659520.0,1156042752.0,906551296.0,0.0,0.0,4.460,2.750,2.310
31-10 14:30:54,96.259,3.242,0.499,0.0,0.0,0.0,643072.0,192512.0,6209941504.0,7667712.0,1155858432.0,898912256.0,0.0,0.0,4.500,2.790,2.320
31-10 14:30:55,95.970,3.526,0.252,0.252,0.0,0.0,991232.0,172032.0,6183739392.0,7815168.0,1156456448.0,924368896.0,1864.0,3361.0,4.500,2.790,2.320
31-10 14:30:56,97.007,2.993,0.0,0.0,0.0,0.0,401408.0,204800.0,6243110912.0,7950336.0,1157185536.0,864133120.0,0.0,0.0,4.500,2.790,2.320
31-10 14:30:57,96.0,4.0,0.0,0.0,0.0,0.0,1830912.0,798720.0,6117462016.0,7950336.0,1158737920.0,988229632.0,0.0,0.0,4.500,2.790,2.320
31-10 14:30:58,96.0,3.0,0.500,0.250,0.0,0.250,12288.0,200704.0,6151168000.0,7962624.0,1158692864.0,954556416.0,0.0,0.0,4.500,2.790,2.320
31-10 14:30:59,95.750,4.0,0.250,0.0,0.0,0.0,12288.0,36864.0,6222671872.0,7970816.0,1158701056.0,883036160.0,4853.0,7002.0,4.940,2.910,2.360
31-10 14:31:00,95.250,4.750,0.0,0.0,0.0,0.0,274432.0,405504.0,6339211264.0,8118272.0,1157668864.0,767381504.0,134.0,0.0,4.940,2.910,2.360
31-10 14:31:01,89.950,4.774,2.010,3.266,0.0,0.0,1159168.0,5574656.0,5731090432.0,8871936.0,1159217152.0,1373200384.0,5491.0,4055.0,4.940,2.910,2.360
31-10 14:31:02,74.559,4.534,12.343,8.312,0.0,0.252,9629696.0,102400.0,5846769664.0,14413824.0,1163894784.0,1247301632.0,123.0,70.0,4.940,2.910,2.360
31-10 14:31:03,96.491,2.757,0.251,0.251,0.0,0.251,11091968.0,4096.0,5933805568.0,15028224.0,1165942784.0,1157603328.0,0.0,0.0,4.940,2.910,2.360
31-10 14:31:04,93.451,3.275,3.023,0.252,0.0,0.0,0.0,2748416.0,5570138112.0,15028224.0,1167241216.0,1519972352.0,600.0,0.0,5.910,3.140,2.440
31-10 14:31:05,96.259,2.494,0.998,0.0,0.0,0.249,921600.0,253952.0,5617823744.0,15650816.0,1168392192.0,1470513152.0,2963.0,5374.0,5.910,3.140,2.440
31-10 14:31:06,96.231,2.010,1.759,0.0,0.0,0.0,0.0,98304.0,5658046464.0,15659008.0,1169383424.0,1429291008.0,0.0,0.0,5.910,3.140,2.440
31-10 14:31:07,94.750,4.250,0.750,0.250,0.0,0.0,348160.0,16384.0,5698494464.0,15671296.0,1170653184.0,1387560960.0,59765.0,15453.0,5.910,3.140,2.440
31-10 14:31:08,96.491,2.506,1.003,0.0,0.0,0.0,0.0,8192.0,5723033600.0,15671296.0,1211990016.0,1321684992.0,64.0,64.0,5.910,3.140,2.440
31-10 14:31:09,93.719,6.030,0.251,0.0,0.0,0.0,40960.0,36864.0,5819400192.0,15671296.0,1167495168.0,1269813248.0,190.0,194.0,6.880,3.390,2.530
31-10 14:31:10,93.484,4.010,2.005,0.501,0.0,0.0,4096.0,262144.0,5853589504.0,15683584.0,1167495168.0,1235611648.0,3066.0,70.0,6.880,3.390,2.530
31-10 14:31:11,92.947,3.778,2.771,0.504,0.0,0.0,233472.0,118784.0,5873459200.0,15691776.0,1167728640.0,1215500288.0,300.0,140.0,6.880,3.390,2.530
31-10 14:31:12,94.975,4.523,0.503,0.0,0.0,0.0,57344.0,512000.0,5955620864.0,15691776.0,1168666624.0,1132400640.0,0.0,0.0,6.880,3.390,2.530
31-10 14:31:13,93.750,4.250,2.0,0.0,0.0,0.0,385024.0,1335296.0,5981364224.0,15695872.0,1212170240.0,1063149568.0,122.0,0.0,6.880,3.390,2.530
31-10 14:31:14,89.169,5.290,2.015,3.526,0.0,0.0,8957952.0,172032.0,5992747008.0,16490496.0,1219825664.0,1043316736.0,0.0,0.0,7.050,3.480,2.560


"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 2030",,,,"Date:","31 Oct 2019 14:35:22 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send","1m","5m","15m"
31-10 14:35:22,19.998,4.465,70.205,5.310,0.0,0.021,46429.556,81767.931,5385920512.0,34148352.0,1283895296.0,1568415744.0,0.0,0.0,0.880,1.840,2.080
31-10 14:35:23,45.885,1.247,34.165,18.703,0.0,0.0,868352.0,0.0,5457428480.0,34148352.0,1283837952.0,1496965120.0,140.0,140.0,0.880,1.840,2.080
31-10 14:35:24,67.0,2.500,19.250,11.0,0.0,0.250,872448.0,0.0,5476626432.0,34148352.0,1283915776.0,1477689344.0,595.0,0.0,1.290,1.910,2.100
31-10 14:35:25,61.0,1.500,23.250,14.250,0.0,0.0,778240.0,233472.0,5531729920.0,34164736.0,1283919872.0,1422565376.0,134.0,0.0,1.290,1.910,2.100
31-10 14:35:26,58.228,1.013,23.291,17.468,0.0,0.0,737280.0,36864.0,5606838272.0,34164736.0,1283682304.0,1347694592.0,0.0,0.0,1.290,1.910,2.100
31-10 14:35:27,61.713,1.008,21.159,16.121,0.0,0.0,720896.0,102400.0,5611384832.0,34164736.0,1283846144.0,1342984192.0,214.0,70.0,1.290,1.910,2.100
31-10 14:35:28,54.937,2.532,29.114,13.165,0.0,0.253,679936.0,204800.0,5762600960.0,34164736.0,1264332800.0,1211281408.0,90.0,0.0,1.290,1.910,2.100
31-10 14:35:29,85.606,3.535,6.818,4.040,0.0,0.0,765952.0,2748416.0,5459845120.0,34164736.0,1264300032.0,1514070016.0,126.0,194.0,1.420,1.930,2.110
31-10 14:35:30,81.407,2.261,8.291,8.040,0.0,0.0,643072.0,114688.0,5546967040.0,34172928.0,1264398336.0,1426841600.0,326.0,70.0,1.420,1.930,2.110
31-10 14:35:31,93.985,1.754,2.005,2.005,0.0,0.251,733184.0,200704.0,5575081984.0,34181120.0,1264373760.0,1398743040.0,70.0,70.0,1.420,1.930,2.110
31-10 14:35:32,96.742,1.504,0.752,1.003,0.0,0.0,811008.0,16384.0,5625790464.0,34181120.0,1264349184.0,1348059136.0,0.0,0.0,1.420,1.930,2.110
31-10 14:35:33,90.226,1.003,4.261,4.511,0.0,0.0,757760.0,24576.0,5687193600.0,34181120.0,1264373760.0,1286631424.0,0.0,0.0,1.420,1.930,2.110
31-10 14:35:34,90.201,1.508,4.271,4.020,0.0,0.0,667648.0,45056.0,5773651968.0,34181120.0,1264205824.0,1200340992.0,0.0,0.0,1.790,2.0,2.130
31-10 14:35:35,93.939,1.515,2.525,1.768,0.0,0.253,733184.0,143360.0,5850521600.0,34181120.0,1264353280.0,1123323904.0,134.0,0.0,1.790,2.0,2.130
31-10 14:35:36,91.228,2.757,3.759,2.256,0.0,0.0,1503232.0,421888.0,5874278400.0,34197504.0,1265229824.0,1098674176.0,763.0,633.0,1.790,2.0,2.130
31-10 14:35:37,91.479,3.008,3.509,1.754,0.0,0.251,770048.0,892928.0,5961842688.0,34197504.0,1265123328.0,1011216384.0,1095.0,70.0,1.790,2.0,2.130
31-10 14:35:38,89.223,5.764,3.258,1.754,0.0,0.0,757760.0,2752512.0,6123839488.0,34197504.0,1257484288.0,856858624.0,202.0,140.0,1.790,2.0,2.130
31-10 14:35:39,94.250,4.500,0.750,0.500,0.0,0.0,692224.0,77824.0,5858127872.0,34197504.0,1254752256.0,1125302272.0,126.0,194.0,2.530,2.140,2.180
31-10 14:35:40,90.680,3.526,4.030,1.511,0.0,0.252,729088.0,2748416.0,5562925056.0,34197504.0,1257529344.0,1417728000.0,383.0,249.0,2.530,2.140,2.180
31-10 14:35:41,97.250,1.500,0.500,0.750,0.0,0.0,610304.0,196608.0,5647540224.0,34205696.0,1257607168.0,1333026816.0,70.0,70.0,2.530,2.140,2.180
31-10 14:35:42,93.500,6.500,0.0,0.0,0.0,0.0,1265664.0,729088.0,5904904192.0,34230272.0,1258668032.0,1074577408.0,33565.0,4952.0,2.530,2.140,2.180
31-10 14:35:43,95.511,3.491,0.249,0.499,0.0,0.249,4358144.0,0.0,6101270528.0,34373632.0,1277018112.0,859717632.0,140.0,140.0,2.530,2.140,2.180
31-10 14:35:44,97.284,2.716,0.0,0.0,0.0,0.0,3334144.0,16384.0,6169665536.0,34381824.0,1286086656.0,782245888.0,0.0,0.0,3.290,2.310,2.230
31-10 14:35:45,96.438,3.053,0.0,0.509,0.0,0.0,5238784.0,28672.0,6216060928.0,34381824.0,1296326656.0,725610496.0,134.0,0.0,3.290,2.310,2.230
31-10 14:35:46,97.007,2.743,0.0,0.0,0.0,0.249,843776.0,8192.0,6246604800.0,34381824.0,1296273408.0,695119872.0,0.0,0.0,3.290,2.310,2.230
31-10 14:35:47,96.992,2.757,0.251,0.0,0.0,0.0,770048.0,688128.0,6347939840.0,34398208.0,1296285696.0,593756160.0,109.0,179.0,3.290,2.310,2.230
31-10 14:35:48,94.763,4.988,0.0,0.249,0.0,0.0,798720.0,45056.0,6407958528.0,34402304.0,1296232448.0,533786624.0,0.0,0.0,3.290,2.310,2.230
31-10 14:35:49,97.0,3.0,0.0,0.0,0.0,0.0,757760.0,454656.0,6503350272.0,34455552.0,1280475136.0,454098944.0,329.0,264.0,3.740,2.420,2.270
31-10 14:35:50,96.491,2.256,0.501,0.501,0.0,0.251,798720.0,12288.0,6539366400.0,34455552.0,1280217088.0,418340864.0,204.0,70.0,3.740,2.420,2.270
31-10 14:35:51,97.739,2.010,0.251,0.0,0.0,0.0,765952.0,151552.0,6586343424.0,34455552.0,1280544768.0,371036160.0,134.0,134.0,3.740,2.420,2.270
31-10 14:35:52,96.742,2.005,0.752,0.501,0.0,0.0,823296.0,200704.0,6656557056.0,34312192.0,1261068288.0,320442368.0,0.0,0.0,3.740,2.420,2.270
31-10 14:35:53,96.766,2.488,0.249,0.249,0.0,0.249,811008.0,348160.0,6666518528.0,34320384.0,1260642304.0,310898688.0,123.0,70.0,3.740,2.420,2.270
31-10 14:35:54,91.980,7.519,0.501,0.0,0.0,0.0,491520.0,27566080.0,6869729280.0,34197504.0,1239179264.0,129273856.0,0.0,0.0,4.170,2.530,2.300
31-10 14:35:55,74.623,12.563,5.276,7.035,0.0,0.503,24576.0,85794816.0,6984138752.0,33644544.0,1094430720.0,160165888.0,134.0,0.0,4.170,2.530,2.300
31-10 14:35:56,95.750,4.0,0.0,0.250,0.0,0.0,761856.0,36618240.0,6950043648.0,33656832.0,1082667008.0,206012416.0,0.0,0.0,4.170,2.530,2.300
31-10 14:35:57,88.665,5.290,4.030,1.511,0.0,0.504,1302528.0,77824.0,6242168832.0,33677312.0,1100931072.0,895602688.0,0.0,0.0,4.170,2.530,2.300
31-10 14:35:58,88.972,3.759,3.509,3.759,0.0,0.0,655360.0,2682880.0,6019313664.0,33681408.0,1102196736.0,1117188096.0,212.0,0.0,4.170,2.530,2.300
31-10 14:35:59,90.0,3.500,2.250,4.250,0.0,0.0,843776.0,143360.0,6110253056.0,33693696.0,1102036992.0,1026396160.0,706.0,194.0,4.310,2.590,2.320
31-10 14:36:00,96.259,2.993,0.249,0.0,0.0,0.499,1024000.0,94208.0,6147084288.0,33705984.0,1102413824.0,989175808.0,3192.0,4749.0,4.310,2.590,2.320
31-10 14:36:01,96.491,3.509,0.0,0.0,0.0,0.0,761856.0,0.0,6184067072.0,33705984.0,1102749696.0,951857152.0,140.0,140.0,4.310,2.590,2.320
31-10 14:36:02,98.496,1.504,0.0,0.0,0.0,0.0,835584.0,0.0,6214963200.0,33705984.0,1102381056.0,921329664.0,0.0,0.0,4.310,2.590,2.320
31-10 14:36:03,98.250,1.250,0.500,0.0,0.0,0.0,897024.0,32768.0,6295773184.0,33705984.0,1102573568.0,840327168.0,0.0,0.0,4.310,2.590,2.320
31-10 14:36:04,95.511,3.741,0.499,0.0,0.0,0.249,929792.0,69632.0,6349701120.0,33714176.0,1102635008.0,786329600.0,0.0,0.0,4.690,2.690,2.360
31-10 14:36:05,92.462,4.271,1.759,1.508,0.0,0.0,876544.0,143360.0,6458388480.0,33722368.0,1102598144.0,677670912.0,134.0,0.0,4.690,2.690,2.360
